Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Work item split),Inward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affected services),Custom field (Approvals),Custom field (Business Case),Custom field (Business Requestor),Custom field (Category),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text (view-only)),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Name),Custom field (Epic Score),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Functional Unit),Custom field (GEP Jira Id),Custom field (Goals),Custom field (Issue color),Custom field (Justification),Custom field (Locked forms),Custom field (Number of user affected?),Custom field (Open forms),Custom field (Perceived Value),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Add Service Principals for MMS, Energy Aspects, Argus, Blather, WoodMac, and Keyera Price Deck.",DF-792,43622,Story,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,18/Sep/25 2:36 PM,18/Sep/25 3:02 PM,,,,,,,,,,,,,0,,,,,"Creating this user story to add the Service Principals that are going to own the respective tables/jobs. Service Principals:

* MMS
* Energy Aspects
* Argus
* Blather
* WoodMac
* Keyera Price Deck



This will improve security and ownership clarity of the secured tables.



Acceptance Criteria:

# There is a service principal for the following data sources:
## MMS
## Energy Aspects
## Argus
## Blather
## WoodMac
## Keyera Price Deck
# Existing jobs should have their runners changed to the created SP:
## Energy Aspects
## Argus
## Blather
## WoodMac
## Keyera Price Deck
# Ensure the following SP have access to their secrets scopes for bronze ingestion:
## Argus
## Energy Aspects
## MMS
## Blather",,Mateo Fidabel,,,,,,,,712020:1019fe96-0c82-49df-a1a1-1addad717125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49bbf1b6,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045kg:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41402,DF-656,Databricks Platform Administration,To Do,18/Sep/25 2:36 PM
Bugs from testing DF-690 Missing Emissions meta-data,DF-791,43600,Bug,In Progress,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Ivan Weiss Van Der Pol,712020:ae23ab4a-f0d2-4938-91e7-70cc53678aa6,Pauline Telan,6230ae1375f257006a99beed,Pauline Telan,6230ae1375f257006a99beed,18/Sep/25 8:09 AM,18/Sep/25 9:49 AM,,,LakehouseETL-1.7.0,,,,,,,,,,0,,,,,"This ticket contains bugs found from testing [https://keyera.atlassian.net/browse/DF-690|https://keyera.atlassian.net/browse/DF-690|smart-link]. 

Testing was done on the {{keyera_sustainability_test}} catalog.

||*Bug Description*||*Expected Behaviour*||
|#1: Missing comment for {{name}} column in {{gold_air_emissions.abgpi_metrics}}|comment field should say “_The name of the attribute. For ABGPI metrics, the primary attributes are quantity (metered or Petrinex), weighting factor (for a specific module within the processing index), and the weighted quantity of tons of C02e of module throughput.”_|
|#2: Missing comment for {{value}} column in {{gold_air_emissions.abgpi_metrics}}|Comment field should say “The value of the attribute.”|
|#3: {{gold_air_emissions.fuel_gas_combustion_emissions_metrics}} columns do not have comments at all|Comment fields should have descriptions as defined in the [+metadata sheet+|https://keyeracorp.sharepoint.com/:x:/r/sites/TM-DataFoundations/Shared%20Documents/General/Business%20Engagement%20-%20Metadata%20Output/Sustainability_Products_Metadata%20COMPLETE.xlsx?d=wb9bdd9da627e48f7885f5e87c72c4e3d&csf=1&web=1&e=VxKpE4&nav=MTVfe0ZDOTcwRjM2LTQ3NjItNDUzNi05NTFGLUVBOUY2QUE1ODdFMX0].|
|#4: {{gold_air_emissions.venting_emissions_metrics}} columns do not have comments at all|Comment fields should have descriptions as defined in the [+metadata sheet+|https://keyeracorp.sharepoint.com/:x:/r/sites/TM-DataFoundations/Shared%20Documents/General/Business%20Engagement%20-%20Metadata%20Output/Sustainability_Products_Metadata%20COMPLETE.xlsx?d=wb9bdd9da627e48f7885f5e87c72c4e3d&csf=1&web=1&e=2rFEWB&nav=MTVfezExNjJCMzUwLTA1OUMtNDdCMC05REE0LTExMUY5QTc2M0E5Nn0].|",,Pauline Telan,,,,,,,,6230ae1375f257006a99beed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF-690,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14bc4f47,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045hk:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,18/Sep/25 9:48 AM
Validate Groups Against Rules,DF-790,43599,Story,In Progress,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,High,,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,18/Sep/25 7:27 AM,18/Sep/25 7:27 AM,,,,,,Platform Management,,,,,,26/Sep/25 12:00 AM,0,,,,,"As a platform admin, I need to be able to validate group and user permissions against expected rules in an automated and scheduled way, so that I can secure the platform.",,Scott Drennan,,,,,,,,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF-648,DF-725,DF-746,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27bdebd4,,,,,0.0,,"{branch={count=1, dataType=branch}, json={""cachedValue"":{""errors"":[],""summary"":{""branch"":{""overall"":{""count"":1,""lastUpdated"":""2025-09-18T16:16:49.000-0600"",""dataType"":""branch""},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,0|i045hc:,,,,,,,18/Sep/25 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,41402,DF-656,Databricks Platform Administration,In Progress,18/Sep/25 7:27 AM
Ingest TIPS-Q2 Meter Mapping Table,DF-789,43584,Story,In Evaluation,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Zackary Oleitschuk,712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b,Svetlana Garaev,557058:df742dde-c297-4b5d-b42f-35d95bc257de,Svetlana Garaev,557058:df742dde-c297-4b5d-b42f-35d95bc257de,17/Sep/25 4:38 PM,18/Sep/25 11:49 AM,,,,,,Data Validation / QA,Environment Management,Requirements Definition,,,,,0,BD,G&P,,,"Ingest the following columns from the source SP list: [https://keyeracorp.sharepoint.com/sites/TM-DataFoundations/Lists/TIPSQ2%20meter%20mapping?env=WebViewList|https://keyeracorp.sharepoint.com/sites/TM-DataFoundations/Lists/TIPSQ2%20meter%20mapping?env=WebViewList|smart-link]

* TIPS Meter #
* Q2 Tag ID
* Updated By
* Updated On

Catalog: keyera_enterprise_*

Bronze schema: bronze_sharepoint_site_data_foundations

Silver schema: silver_sharepoint_site_data_foundations

Table name: tips_q2_meter_mapping

h4. Credentials (API key, etc?)

Service principle to be created in collaboration with Joel.

*Acceptance Criteria*

* The above data in the Databricks table matches the source data in the SP list.

*Definition of Done:*

* Code is Written and Reviewed via Pull Request
* Code Passes Unit Tests
* Solution is Documented (README, docstrings, etc.).
* Terraform is Updated (to create resource dependencies like groups, Service Principals, catalogs, schemas, etc.)
* Development Deployment is Validated
* Story is Attached to a Release
* Release is Deployed to Test",,Svetlana Garaev,,,,,,,,557058:df742dde-c297-4b5d-b42f-35d95bc257de,,,,,,,,,,,,,,,,DF-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68742888,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045fc:,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,37119,DF-16,TIPS Volumetric Data by Customer,In Progress,17/Sep/25 8:59 PM
Missing Blather Spreads,DF-788,43581,Bug,In Evaluation,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Zackary Oleitschuk,712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b,Ananya Jain,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,Ananya Jain,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,17/Sep/25 2:59 PM,18/Sep/25 10:48 AM,18/Sep/25 12:26 PM,,,LakehouseETL-1.7.0,,,,,,,,,0,,,,,"* The spread calculations for all products from the source ‘Daily Blather’, location ‘CNW-MtB’ should be added. 
* Steps to reproduce: Cell 11 in the blather notebook, Please find in the link attached. [https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/126315563278516?o=3871344541893490#command/7915774411387282|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/126315563278516?o=3871344541893490#command/7915774411387282]
* Expected Result: Should be added to the gold_spreads table along with the other existing spreads. Example cells for the table
** product	spread_location	spread_value	spread_avg	spread_max	spread_min	unit	date	term	source	ingestion_date	extraction_date
Propane	CWY-MtB	-2.625	null	null	null	US Cents per Gallon	2025-07-31	Short-Term	Daily Blather	null	2025-07-16
Propane	CWY-MtB	-2.75	null	null	null	US Cents per Gallon	2025-08-31	Short-Term	Daily Blather	null	2025-07-16
* Actual Result: Null
* Priority: Medium
",,Ananya Jain,Polina Pranova,,,,,,,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ce055af,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045ew:,,,,,,,,,,,,,,,,2025-09-18 16:06:15.557,,"18/Sep/25 10:06 AM;712020:a1251549-b5e9-429e-bdac-bfe9b030be91;[~accountid:712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62] please give the bug description with the following structure:

*Core Bug Fields*

* *Description*
* *Steps to Reproduce*
* *Expected Result*
* *Actual Result*
* *Severity (*_Blocker, Critical, Major, Minor_)
* *Priority (*_High, Medium, Low)_

CC: [~accountid:712020:cb9e83dc-57be-43ee-bb65-f55850e05abb] [~accountid:712020:ae23ab4a-f0d2-4938-91e7-70cc53678aa6] ",18/Sep/25 10:37 AM;712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62;[~accountid:712020:a1251549-b5e9-429e-bdac-bfe9b030be91] Please see the updated description and let me know if you have any questions!,18/Sep/25 10:48 AM;712020:a1251549-b5e9-429e-bdac-bfe9b030be91;[~accountid:712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62] Thanks!,,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,In Progress,18/Sep/25 9:29 AM
Spread Name Change,DF-787,43576,Bug,In Evaluation,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Low,,Zackary Oleitschuk,712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,17/Sep/25 2:56 PM,18/Sep/25 9:30 AM,,,,LakehouseETL-1.7.0,,,,,,,,,0,,,,,In S&P there is a spread from afei - mtb. For the location filters we normalized the name afei to japan across all sources but forgot to do so for the spread. Name for the spread should be jpn-mtb,,Jacob McCarthy,,,,,,,,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f64a231,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045e8:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,In Progress,18/Sep/25 9:29 AM
Missing Unit Conversions,DF-786,43575,Story,Approved to Start,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Alejandro Cabral,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,17/Sep/25 2:52 PM,18/Sep/25 1:46 PM,,,,LakehouseETL-1.7.0,,,,,,,,,0,,,,,"*Requirements*

Update the {{gold_price_forecast.gold_price}} transformation process to incorporate the logic stored in the notebook located here ([https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490#command/8823592777504329|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490#command/8823592777504329]) so that additional rows are generated for each record for the different units of measure.



*Original Request From Keyera:*

The final gold tables should include unit conversions for all of the data as separate rows; we created a notebook that will calculate these conversions and insert them into the gold table, and it should be included in the zip file we provided and should be run at the end of the ingestion to allow for unit conversions. Below is a link to the unit conversion Databricks notebook just in case

[https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490]",,Alejandro Cabral,Jacob McCarthy,Zackary Oleitschuk,,,,,,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@388b6299,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045e0:,,,,,,,,,,,,,,,,2025-09-18 19:40:11.47,,18/Sep/25 1:40 PM;712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b;Converted from Bug to Story as this requirement was not originally captured with the original request.,18/Sep/25 1:41 PM;712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b;NOTE: The implementation of this code SHOULD NOT be run as a separate task of the ETL. This code should be executed as part of the creation of the {{gold_price_forecast.gold_price}} table.,18/Sep/25 1:45 PM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;[~accountid:712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b] Noted! Then we will include it in the gold consolidation notebook,,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,In Progress,18/Sep/25 9:29 AM
Blather ingestion capturing only 2 out of 10 products,DF-785,43574,Bug,Approved to Start,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Ivan Weiss Van Der Pol,712020:ae23ab4a-f0d2-4938-91e7-70cc53678aa6,Ananya Jain,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,Ananya Jain,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,17/Sep/25 2:52 PM,18/Sep/25 1:27 PM,18/Sep/25 4:54 PM,,,LakehouseETL-1.7.0,,,,,,,,,0,,,,,"The Blather ingestion pipeline is not capturing the full set of expected products. Out of the 10 products configured (*C2 EPC, C3 - EPC, C4 - EPC, C4 - LST, IC4 - EPC, C5 - EPC, C3 - CNWY, IC4 - CNWY, C4 - CNWY, C5 - CNWY*), only 2 are being ingested (*C2 EPC, C3 - EPC*).

Also verified in the silver layer. ",,Alejandro Cabral,Ananya Jain,,,,,,,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Sep/25 11:43 AM;636746eb-1a3f-42eb-82eb-6588c6dd4ede;image-20250918-173944.png;https://keyera.atlassian.net/rest/api/3/attachment/content/28368,18/Sep/25 11:43 AM;636746eb-1a3f-42eb-82eb-6588c6dd4ede;image-20250918-174002.png;https://keyera.atlassian.net/rest/api/3/attachment/content/28367,18/Sep/25 11:43 AM;636746eb-1a3f-42eb-82eb-6588c6dd4ede;image-20250918-174017.png;https://keyera.atlassian.net/rest/api/3/attachment/content/28366,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2408a20f,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045ds:,,,,,,,,,,,,,,,,2025-09-18 17:43:37.708,,"18/Sep/25 11:43 AM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;Hello this is likely caused due to an extra column present in the {{daily_blather_2025_07_25.xlsx}} example that is not present in the blather {{DB.dd.mm.yy.xlsx}} daily files, the solution could be modifying the code so that it’s adapted to the daily file’s format.


!image-20250918-173944.png|width=421%,alt=""image-20250918-173944.png""!

!image-20250918-174002.png|width=422%,alt=""image-20250918-174002.png""!

!image-20250918-174017.png|width=423%,alt=""image-20250918-174017.png""!",18/Sep/25 1:06 PM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;Reassigning this to [~accountid:712020:ae23ab4a-f0d2-4938-91e7-70cc53678aa6] ,18/Sep/25 1:12 PM;712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62;[~accountid:712020:cb9e83dc-57be-43ee-bb65-f55850e05abb] Thanks for the clarification! Sorry about missing that file format difference.,18/Sep/25 1:27 PM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;[~accountid:712020:ff5e5b22-5b5c-4f8a-be66-74a7d3dc8b62] No worries at all! Thanks for catching the bug,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,In Progress,18/Sep/25 9:29 AM
RBOB Location Filter Fix,DF-784,43571,Bug,In Evaluation,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Zackary Oleitschuk,712020:c79871b4-3321-48a4-b4ae-d1a84eb31c0b,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,17/Sep/25 2:45 PM,18/Sep/25 12:16 PM,,,,LakehouseETL-1.7.0,,,,,,,,,0,,,,,"Minor issue with the RBOB location_name, instead of saying ‘Mont Belvieu’ or ‘North America’ the location should be set to ‘New York Harbour’ (this has been set for argus but other sources like EA and S&P do not have this change",,Alejandro Cabral,Jacob McCarthy,,,,,,,712020:cb9e83dc-57be-43ee-bb65-f55850e05abb,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/Sep/25 2:36 PM;59bdd410-be17-410d-a2f2-d11158c25354;Correct RBOB Location.png;https://keyera.atlassian.net/rest/api/3/attachment/content/28295,17/Sep/25 2:36 PM;59bdd410-be17-410d-a2f2-d11158c25354;Incorrect location_name.png;https://keyera.atlassian.net/rest/api/3/attachment/content/28294,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6e88f30b,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i045dc:,,,,,,,,,,,,,,,,2025-09-18 17:16:14.213,,"18/Sep/25 11:16 AM;712020:cb9e83dc-57be-43ee-bb65-f55850e05abb;Hi [~accountid:712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a] , just to confirm my understanding: in all {{price}} gold tables, should we replace any value in the column {{location_name}} that is equal to [{{RBOB}},{{Mont Belvieu}}, or {{North America}}] with {{""New York Harbour""}}?",,,,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,In Progress,18/Sep/25 9:29 AM
Create a service principal for downloading the .xls. file from  inbox,DF-783,43482,Sub-task,In Progress,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Mateo Fidabel,712020:1019fe96-0c82-49df-a1a1-1addad717125,Polina Pranova,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,Polina Pranova,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,16/Sep/25 3:16 PM,17/Sep/25 12:32 PM,,,,,,,,,,,,,0,,,,,TBD - Mateo to give details on this,,Polina Pranova,,,,,,,,712020:a1251549-b5e9-429e-bdac-bfe9b030be91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@687faf77,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i0456w:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40641,DF-624,Fundamentals dashboard ingestion code for review and pipelining ,In Progress,16/Sep/25 3:17 PM
