key,summary,type,status,priority,created_ok,updated_ok,dates_ok,required_ok,key_format_ok,unique_key_ok,link_ref_errors
DF-792,"Add Service Principals for MMS, Energy Aspects, Argus, Blather, WoodMac, and Keyera Price Deck.",Story,Backlog,Medium,True,True,True,True,True,True,0
DF-791,Bugs from testing DF-690 Missing Emissions meta-data,Bug,In Progress,Medium,True,True,True,True,True,True,0
DF-790,Validate Groups Against Rules,Story,In Progress,High,True,True,True,True,True,True,0
DF-789,Ingest TIPS-Q2 Meter Mapping Table,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-788,Missing Blather Spreads,Bug,In Evaluation,Medium,True,True,True,True,True,True,0
DF-787,Spread Name Change,Bug,In Evaluation,Low,True,True,True,True,True,True,0
DF-786,Missing Unit Conversions,Story,Approved to Start,Medium,True,True,True,True,True,True,0
DF-785,Blather ingestion capturing only 2 out of 10 products,Bug,Approved to Start,Medium,True,True,True,True,True,True,0
DF-784,RBOB Location Filter Fix,Bug,In Evaluation,Medium,True,True,True,True,True,True,0
DF-783,Create a service principal for downloading the .xls. file from  inbox,Sub-task,In Progress,Medium,True,True,True,True,True,True,0
DF-782,Add UOM column to the Meter Hierarchy table,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-781,Create eONE gold tables,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-780,Develop gold_measurement.op_data_quantity_daily table,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-779,Develop gold_measurement.op_data_quantity_minute table,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-778,Bug ticket for Rimbey Compliance Summary Not Adding Up for Certain Months,Bug,Approved to Start,Medium,True,True,True,True,True,True,0
DF-777,Measurement & Analytics - Quality Data,Epic,Backlog,High,True,True,True,True,True,True,0
DF-776,Create Ingestion Pipeline Using gDC Data,Task,In Progress,Medium,True,True,True,True,True,True,0
DF-775,Create Databricks Dashboard,Task,Done,Low,True,True,True,True,True,True,0
DF-774,Creating dashboard displaying WCSB facility data and an ingestion pipeline to automatically update dashboard data,Epic,In Progress,Medium,True,True,True,True,True,True,0
DF-773,Measurement & Analytics - Quality - Quality Accounting,Story,Backlog,High,True,True,True,True,True,True,0
DF-772,In Databricks show the last susccessful sql replication,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-771,Ingesting time and processing Schedule,Story,In Progress,High,True,True,True,True,True,True,0
DF-770,Apply metadata and documentation,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-769,Create keyera_enterprise_*.gold_measurement.operational_data_quantity_daily table,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-768,1 - Develop Solution design,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-767,0 - Document Business Requirements,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-766,Create Operational Data Quantity - Daily table,Epic,Backlog,High,True,True,True,True,True,True,0
DF-765,Apply metadata and documentation,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-764,Create keyera_enterprise_*.gold_measurement.operational_data_quantity_minute table,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-763,1 - Develop Solution design,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-762,0 - Document Business Requirements,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-760,0 - Document business requirements,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-759,Dashboards do not run on Schedule when assigned to TerraForm created Compute,Bug,Rejected,Medium,True,True,True,True,True,True,0
DF-758,Blather - Inbox file upload automation,Sub-task,In Evaluation,Medium,True,True,True,True,True,True,0
DF-757,Query Jira,Task,In Progress,Medium,True,True,True,True,True,True,0
DF-754,TESTSCRIPT DATA -- replication to databricks.silver data ingestion,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-751,Create a SP list for TIPS-Q2 meter mapping,Story,Done,Medium,True,True,True,True,True,True,0
DF-750,Deploy 1.5.0/1.6.0 to production - get pwd from jy for CGYMSDBP141 - svc_databricks_maximo_prod,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-748,Remove Demo Group from Terraform,Story,Backlog,Medium,True,True,True,True,True,True,0
DF-747,Ingest QPOST_RPTS_WIO_STMT to Silver Layer,Sub-task,Blocked,Medium,True,True,True,True,True,True,0
DF-746,Ingest User and Service Principal Entitlements,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-745,Ingest QPOST_RPTS_WIO_STMT Table,Story,Rejected,Medium,True,True,True,True,True,True,0
DF-744,Link AD Groups to existing Business Areas,Story,User Testing,Medium,True,True,True,True,True,True,0
DF-742,Develop the gold_measurement.volumetric_accounting table,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-741,Ingest MMS and Q2 data sources,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-738,Measurements - Quantity Data,Epic,Backlog,High,True,True,True,True,True,True,0
DF-737,Troubleshoot KAPS Daily and KAPS NRES Dashboard Scheduling Issues,Bug,Rejected,Medium,True,True,True,True,True,True,0
DF-736,Create SPs to support Workspace API Queries and Admin Deployments,Story,In Evaluation,Medium,True,True,True,True,True,True,0
DF-735,Create Gold Table Implementation for FCTT offloads and Samples,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-734,Implement permissioning for gold_measurement schema access,Sub-task,Backlog,Medium,True,True,True,True,True,True,0
DF-733,Missing Petrinex data for July,Bug,Done,Medium,True,True,True,True,True,True,0
DF-732,Creating Databricks Dashboard - Data Products Table,Sub-task,In Progress,Medium,True,True,True,True,True,True,0
DF-731,"Apply new notebook updates to Keyera Price Deck, Energy Aspects, and S&P Global",Story,User Testing,Medium,True,True,True,True,True,True,0
DF-730,Consolidated Gold tables for fundamentals price and spreads,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-729,Ingest missing S&P Global data for the fundamentals dashboard,Sub-task,User Testing,Medium,True,True,True,True,True,True,0
DF-727,Review Technical Standards Doc,Task,Done,Medium,True,True,True,True,True,True,0
DF-726,SCIM Integration,Sub-task,Done,Medium,True,True,True,True,True,True,0
DF-725,IAM Entitlements Testing Framework,Story,Done,Medium,True,True,True,True,True,True,0
DF-724,IAM 001-003 - Bronze Unity Catalog Grants,Story,In Progress,Medium,True,True,True,True,True,True,0
DF-723,Project Dashboard,Story,In Progress,Medium,True,True,True,True,True,True,0
