Key,Key,Summary,Summary_suggested,Issue Type,Status,Assignee,Priority,Story Points,Epic Link,Fix Version/s,Labels,Components,flag_missing_ac,flag_no_estimate,flag_no_owner,flag_vague_summary,groomability_score,AC_suggested,Description,Description_suggested
DF-792,43622.0,"Add Service Principals for MMS, Energy Aspects, Argus, Blather, WoodMac, and Keyera Price Deck.","Add Service Principals for MMS, Energy Aspects, Argus, Blather, WoodMac, and Keyera Price Deck.",Story,Backlog,,Medium,,,,,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Creating this user story to add the Service Principals that are going to own the respective tables/jobs. Service Principals:

* MMS
* Energy Aspects
* Argus
* Blather
* WoodMac
* Keyera Price Deck



This will improve security and ownership clarity of the secured tables.



Acceptance Criteria:

# There is a service principal for the following data sources:
## MMS
## Energy Aspects
## Argus
## Blather
## WoodMac
## Keyera Price Deck
# Existing jobs should have their runners changed to the created SP:
## Energy Aspects
## Argus
## Blather
## WoodMac
## Keyera Price Deck
# Ensure the following SP have access to their secrets scopes for bronze ingestion:
## Argus
## Energy Aspects
## MMS
## Blather",
DF-791,43600.0,Bugs from testing DF-690 Missing Emissions meta-data,Bugs from testing DF-690 Missing Emissions meta-data,Bug,In Progress,Ivan Weiss Van Der Pol,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","This ticket contains bugs found from testing [https://keyera.atlassian.net/browse/DF-690|https://keyera.atlassian.net/browse/DF-690|smart-link]. 

Testing was done on the {{keyera_sustainability_test}} catalog.

||*Bug Description*||*Expected Behaviour*||
|#1: Missing comment for {{name}} column in {{gold_air_emissions.abgpi_metrics}}|comment field should say “_The name of the attribute. For ABGPI metrics, the primary attributes are quantity (metered or Petrinex), weighting factor (for a specific module within the processing index), and the weighted quantity of tons of C02e of module throughput.”_|
|#2: Missing comment for {{value}} column in {{gold_air_emissions.abgpi_metrics}}|Comment field should say “The value of the attribute.”|
|#3: {{gold_air_emissions.fuel_gas_combustion_emissions_metrics}} columns do not have comments at all|Comment fields should have descriptions as defined in the [+metadata sheet+|https://keyeracorp.sharepoint.com/:x:/r/sites/TM-DataFoundations/Shared%20Documents/General/Business%20Engagement%20-%20Metadata%20Output/Sustainability_Products_Metadata%20COMPLETE.xlsx?d=wb9bdd9da627e48f7885f5e87c72c4e3d&csf=1&web=1&e=VxKpE4&nav=MTVfe0ZDOTcwRjM2LTQ3NjItNDUzNi05NTFGLUVBOUY2QUE1ODdFMX0].|
|#4: {{gold_air_emissions.venting_emissions_metrics}} columns do not have comments at all|Comment fields should have descriptions as defined in the [+metadata sheet+|https://keyeracorp.sharepoint.com/:x:/r/sites/TM-DataFoundations/Shared%20Documents/General/Business%20Engagement%20-%20Metadata%20Output/Sustainability_Products_Metadata%20COMPLETE.xlsx?d=wb9bdd9da627e48f7885f5e87c72c4e3d&csf=1&web=1&e=2rFEWB&nav=MTVfezExNjJCMzUwLTA1OUMtNDdCMC05REE0LTExMUY5QTc2M0E5Nn0].|",
DF-790,43599.0,Validate Groups Against Rules,[Story] Validate Groups Against Rules permisos/grupos → AC verificables y métrica definida,Story,In Progress,Scott Drennan,High,,,,,Platform Management,True,True,False,False,55,"1) Given reglas esperadas por fuente When corro validador de grupos Then no hay desviaciones y se emite reporte firmado
2) Given un usuario fuera de regla When detecto la desviación Then se abre ticket 'Access‑Fix' y se notifica a SecOps","As a platform admin, I need to be able to validate group and user permissions against expected rules in an automated and scheduled way, so that I can secure the platform.",
DF-789,43584.0,Ingest TIPS-Q2 Meter Mapping Table,Ingest TIPS-Q2 Meter Mapping Table,Story,In Evaluation,Zackary Oleitschuk,Medium,,,,BD,Data Validation / QA,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Ingest the following columns from the source SP list: [https://keyeracorp.sharepoint.com/sites/TM-DataFoundations/Lists/TIPSQ2%20meter%20mapping?env=WebViewList|https://keyeracorp.sharepoint.com/sites/TM-DataFoundations/Lists/TIPSQ2%20meter%20mapping?env=WebViewList|smart-link]

* TIPS Meter #
* Q2 Tag ID
* Updated By
* Updated On

Catalog: keyera_enterprise_*

Bronze schema: bronze_sharepoint_site_data_foundations

Silver schema: silver_sharepoint_site_data_foundations

Table name: tips_q2_meter_mapping

h4. Credentials (API key, etc?)

Service principle to be created in collaboration with Joel.

*Acceptance Criteria*

* The above data in the Databricks table matches the source data in the SP list.

*Definition of Done:*

* Code is Written and Reviewed via Pull Request
* Code Passes Unit Tests
* Solution is Documented (README, docstrings, etc.).
* Terraform is Updated (to create resource dependencies like groups, Service Principals, catalogs, schemas, etc.)
* Development Deployment is Validated
* Story is Attached to a Release
* Release is Deployed to Test",
DF-788,43581.0,Missing Blather Spreads,Missing Blather Spreads,Bug,In Evaluation,Zackary Oleitschuk,Medium,,,,,,True,True,False,False,55,"1) Given precios diarios válidos When calculo spread CNW‑MtB Then se inserta en `gold_spreads` con timestamp y fuente
2) Given valor faltante When el cálculo no es posible Then marco `null_reason` y genero alerta de data‑gap","* The spread calculations for all products from the source ‘Daily Blather’, location ‘CNW-MtB’ should be added. 
* Steps to reproduce: Cell 11 in the blather notebook, Please find in the link attached. [https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/126315563278516?o=3871344541893490#command/7915774411387282|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/126315563278516?o=3871344541893490#command/7915774411387282]
* Expected Result: Should be added to the gold_spreads table along with the other existing spreads. Example cells for the table
** product	spread_location	spread_value	spread_avg	spread_max	spread_min	unit	date	term	source	ingestion_date	extraction_date
Propane	CWY-MtB	-2.625	null	null	null	US Cents per Gallon	2025-07-31	Short-Term	Daily Blather	null	2025-07-16
Propane	CWY-MtB	-2.75	null	null	null	US Cents per Gallon	2025-08-31	Short-Term	Daily Blather	null	2025-07-16
* Actual Result: Null
* Priority: Medium
",
DF-787,43576.0,Spread Name Change,Spread Name Change,Bug,In Evaluation,Zackary Oleitschuk,Low,,,,,,True,True,False,False,55,"1) Given precios diarios válidos When calculo spread CNW‑MtB Then se inserta en `gold_spreads` con timestamp y fuente
2) Given valor faltante When el cálculo no es posible Then marco `null_reason` y genero alerta de data‑gap",In S&P there is a spread from afei - mtb. For the location filters we normalized the name afei to japan across all sources but forgot to do so for the spread. Name for the spread should be jpn-mtb,
DF-786,43575.0,Missing Unit Conversions,Missing Unit Conversions,Story,Approved to Start,Alejandro Cabral,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","*Requirements*

Update the {{gold_price_forecast.gold_price}} transformation process to incorporate the logic stored in the notebook located here ([https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490#command/8823592777504329|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490#command/8823592777504329]) so that additional rows are generated for each record for the different units of measure.



*Original Request From Keyera:*

The final gold tables should include unit conversions for all of the data as separate rows; we created a notebook that will calculate these conversions and insert them into the gold table, and it should be included in the zip file we provided and should be run at the end of the ingestion to allow for unit conversions. Below is a link to the unit conversion Databricks notebook just in case

[https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490|https://dbc-2092c304-c615.cloud.databricks.com/editor/notebooks/4006015021944984?o=3871344541893490]",
DF-785,43574.0,Blather ingestion capturing only 2 out of 10 products,Blather ingestion capturing only 2 out of 10 products,Bug,Approved to Start,Ivan Weiss Van Der Pol,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","The Blather ingestion pipeline is not capturing the full set of expected products. Out of the 10 products configured (*C2 EPC, C3 - EPC, C4 - EPC, C4 - LST, IC4 - EPC, C5 - EPC, C3 - CNWY, IC4 - CNWY, C4 - CNWY, C5 - CNWY*), only 2 are being ingested (*C2 EPC, C3 - EPC*).

Also verified in the silver layer. ",
DF-784,43571.0,RBOB Location Filter Fix,RBOB Location Filter Fix,Bug,In Evaluation,Zackary Oleitschuk,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Minor issue with the RBOB location_name, instead of saying ‘Mont Belvieu’ or ‘North America’ the location should be set to ‘New York Harbour’ (this has been set for argus but other sources like EA and S&P do not have this change",
DF-783,43482.0,Create a service principal for downloading the .xls. file from  inbox,Create a service principal for downloading the .xls. file from  inbox,Sub-task,In Progress,Mateo Fidabel,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",TBD - Mateo to give details on this,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
